iter	Logloss
0	0.6882057619
1	0.6825522091
2	0.676267131
3	0.6711120177
4	0.6660280549
5	0.66015625
6	0.6562217112
7	0.6513214969
8	0.6464441707
9	0.6417687234
10	0.6364657799
11	0.6317982191
12	0.6272541861
13	0.6222712485
14	0.6180781247
15	0.6143047033
16	0.6104033395
17	0.6073250074
18	0.6035755458
19	0.5996798826
20	0.5966163378
21	0.5938700129
22	0.5905435112
23	0.5872848168
24	0.5844765995
25	0.5815050361
26	0.5781006545
27	0.5742884861
28	0.5714254058
29	0.5686777522
30	0.5647653301
31	0.5607422389
32	0.5575800692
33	0.5540582893
34	0.5515386174
35	0.5494574215
36	0.5462122285
37	0.5433146445
38	0.5419950164
39	0.539204201
40	0.5375175047
41	0.5348164419
42	0.5317310805
43	0.529832047
44	0.527811629
45	0.5259919756
46	0.5233170584
47	0.520316049
48	0.518330649
49	0.5155585643
50	0.5133159509
51	0.5115821924
52	0.5091143833
53	0.5067074808
54	0.5050173984
55	0.5036436788
56	0.5011069051
57	0.4989812615
58	0.496593261
59	0.4944822333
60	0.4935981665
61	0.4911530741
62	0.4897925988
63	0.4877744953
64	0.4862720189
65	0.4846314848
66	0.482902784
67	0.4816190741
68	0.4805289279
69	0.4790857722
70	0.4779682802
71	0.4767578639
72	0.4754619384
73	0.4743178721
74	0.4730373768
75	0.4718897102
76	0.4705914272
77	0.4692994879
78	0.4674223996
79	0.4661635924
80	0.4651729284
81	0.4643789999
82	0.4637761491
83	0.4630004368
84	0.461982427
85	0.4614768725
86	0.4603168616
87	0.4591944405
88	0.45835585
89	0.4570697399
90	0.4560047535
91	0.4549313234
92	0.4538773097
93	0.452824539
94	0.451603493
95	0.4500491539
96	0.4490717341
97	0.4476311501
98	0.4466313566
99	0.4458032244
100	0.4451618838
101	0.4439667691
102	0.4434033083
103	0.4425285425
104	0.4412584626
105	0.440912311
106	0.4397488712
107	0.4386988436
108	0.4378772693
109	0.4373826873
110	0.4363960523
111	0.4355511612
112	0.4344003227
113	0.4333871563
114	0.43267968
115	0.4320380393
116	0.4314635202
117	0.4308485395
118	0.4299597579
119	0.4289869673
120	0.4282712186
121	0.4275362679
122	0.427001696
123	0.4261916943
124	0.4254557577
125	0.4243097198
126	0.4235056331
127	0.4231310212
128	0.4220482473
129	0.4212520471
130	0.420806499
131	0.420104809
132	0.4194210353
133	0.4188140698
134	0.4185631141
135	0.4183131872
136	0.4178098614
137	0.4173901161
138	0.417208468
139	0.4167972093
140	0.4158310622
141	0.4150232036
142	0.4141775838
143	0.413836147
144	0.4136942317
145	0.413058506
146	0.4127120972
147	0.412162695
148	0.4118675489
149	0.4110995518
150	0.4105758667
151	0.410125861
152	0.4095745301
153	0.4089600638
154	0.4081228878
155	0.4078336566
156	0.4070879475
157	0.4065616908
158	0.4062822749
159	0.4058719164
160	0.405346474
161	0.4050616146
162	0.4046269106
163	0.4039666679
164	0.4035456368
165	0.4032594917
166	0.4030525122
167	0.40264794
168	0.4021771034
169	0.4020305162
170	0.4014808998
171	0.4010948867
172	0.4009059092
173	0.4006167637
174	0.400073105
175	0.3996000397
176	0.3992248707
177	0.3987784225
178	0.3986009319
179	0.3980078108
180	0.3977770859
181	0.3977091929
182	0.3974667238
183	0.3971975519
184	0.3967738634
185	0.3964737024
186	0.3961961725
187	0.3959324869
188	0.3955042121
189	0.3950125019
190	0.3944197237
191	0.3942122299
192	0.3938813799
193	0.3937472226
194	0.3933259771
195	0.3929532083
196	0.3928466111
197	0.3926317022
198	0.3922780069
199	0.3918560757
200	0.3913197892
201	0.3911356122
202	0.3909470633
203	0.3904038761
204	0.3900705402
205	0.3899001647
206	0.3896717114
207	0.3892332356
208	0.3889067575
209	0.3886984493
210	0.3885705498
211	0.3884103325
212	0.3882255983
213	0.3878758463
214	0.3876761104
215	0.3875493253
216	0.387128337
217	0.386990065
218	0.3866912756
219	0.3865369732
220	0.3861016263
221	0.3859675547
222	0.3858015082
223	0.3855396657
224	0.3853720333
225	0.3850141375
226	0.3846483123
227	0.3845766903
228	0.3843295494
229	0.3840692499
230	0.3838464973
231	0.3835876979
232	0.3831732675
233	0.3828398887
234	0.3824041559
235	0.3821413705
236	0.3819218325
237	0.3815923969
238	0.3814519389
239	0.3813618006
240	0.381071455
241	0.3807895103
242	0.3805093229
243	0.380306201
244	0.3799033433
245	0.3796421008
246	0.3793337533
247	0.3788660885
248	0.3784878334
249	0.3784077248
250	0.3781503399
251	0.377914343
252	0.3775714489
253	0.3773739418
254	0.3771406024
255	0.3768106096
256	0.3766494065
257	0.3764956614
258	0.3763680619
259	0.3762766806
260	0.3760817881
261	0.3758370903
262	0.3755136983
263	0.3753407082
264	0.3751665608
265	0.3748532413
266	0.3746511909
267	0.3743460152
268	0.3740932165
269	0.3739807472
270	0.3738695638
271	0.3736714567
272	0.3734256873
273	0.373270742
274	0.3730628196
275	0.3729803964
276	0.372858969
277	0.3727148249
278	0.3725363056
279	0.3723153961
280	0.3720903718
281	0.3718660333
282	0.3716317509
283	0.3713946396
284	0.3710349437
285	0.3709677364
286	0.3708650396
287	0.3705983537
288	0.3703476124
289	0.370152377
290	0.3700096045
291	0.3699027929
292	0.3698309566
293	0.369548369
294	0.3693168726
295	0.3690557587
296	0.3689249446
297	0.3687786145
298	0.3686247408
299	0.3685617768
300	0.368425905
301	0.3682498718
302	0.3681156716
303	0.3680217614
304	0.3678916331
305	0.3677986231
306	0.3676847822
307	0.3675779707
308	0.3672565503
309	0.3671361516
310	0.3669338441
311	0.3667504386
312	0.3665711478
313	0.3663098625
314	0.3660489629
315	0.3658532989
316	0.3656923101
317	0.3654752581
318	0.365222588
319	0.3651434223
320	0.3649833336
321	0.3647786687
322	0.3646253093
323	0.3644599486
324	0.3643486794
325	0.3642702424
326	0.3640979381
327	0.3639689242
328	0.3638295377
329	0.3637517008
330	0.3634666271
331	0.3633937193
332	0.3632644482
333	0.3630785996
334	0.363040624
335	0.3628688769
336	0.3628063845
337	0.3623978261
338	0.3621904609
339	0.3621658582
340	0.3619657795
341	0.3617081374
342	0.3615618931
343	0.3614026188
344	0.3612242281
345	0.3611737369
346	0.361051238
347	0.360880391
348	0.3606523664
349	0.3604575168
350	0.3603014571
351	0.3602383217
352	0.3600631457
353	0.359933446
354	0.359744597
355	0.3596017816
356	0.3595039925
357	0.3592846045
358	0.359186001
359	0.3591777501
360	0.359038278
361	0.3588939624
362	0.358720908
363	0.3584792748
364	0.3583343377
365	0.3581520681
366	0.3579878432
367	0.3578158389
368	0.3576714591
369	0.3571445594
370	0.3569999866
371	0.3569121629
372	0.3568217674
373	0.3566263606
374	0.3565190776
375	0.3563722332
376	0.3562912244
377	0.3561295927
378	0.3559892419
379	0.3557499446
380	0.3556264599
381	0.3555480871
382	0.3553669962
383	0.3551872339
384	0.3550278096
385	0.3549685532
386	0.3548749216
387	0.3547660742
388	0.3545845975
389	0.354490173
390	0.3543470147
391	0.3542190938
392	0.3540552546
393	0.3539462786
394	0.3538693632
395	0.3536842003
396	0.3535273263
397	0.3534132497
398	0.3530487318
399	0.3529614438
